# TAB- (or at least double whitespace) separated table with corpus information to be used with script "create_metadata.py"
# corpus                                       name_en                  						name_sv                           					mode        description_en                                           						description_sv

kubhist-aftonbladet-1830                       Aftonbladet 1830's                               Aftonbladet 1830-talet                              kubhist     A corpus with texts from Aftonbladet in the 1830's                              En korpus med texter från Aftonbladet på 1830-talet
kubhist-aftonbladet-1840                       Aftonbladet 1840's                               Aftonbladet 1840-talet                              kubhist     A corpus with texts from Aftonbladet in the 1840's                              En korpus med texter från Aftonbladet på 1840-talet
kubhist-aftonbladet-1850                       Aftonbladet 1850's                               Aftonbladet 1850-talet                              kubhist     A corpus with texts from Aftonbladet in the 1850's                              En korpus med texter från Aftonbladet på 1850-talet
kubhist-aftonbladet-1860                       Aftonbladet 1860's                               Aftonbladet 1860-talet                              kubhist     A corpus with texts from Aftonbladet in the 1860's                              En korpus med texter från Aftonbladet på 1860-talet
                 											
kubhist-blekingsposten-1850                    Blekingsposten 1850's    						Blekingsposten 1850-talet         					kubhist     A corpus with texts from Blekingeposten in the 1850's    						En korpus med texter från Blekingeposten på 1850-talet
kubhist-blekingsposten-1860                    Blekingsposten 1860's    						Blekingsposten 1860-talet         					kubhist     A corpus with texts from Blekingeposten in the 1860's    						En korpus med texter från Blekingeposten på 1860-talet
kubhist-blekingsposten-1870                    Blekingsposten 1870's    						Blekingsposten 1870-talet         					kubhist     A corpus with texts from Blekingeposten in the 1870's    						En korpus med texter från Blekingeposten på 1870-talet
kubhist-blekingsposten-1880                    Blekingsposten 1880's    						Blekingsposten 1880-talet         					kubhist     A corpus with texts from Blekingeposten in the 1880's    						En korpus med texter från Blekingeposten på 1880-talet
                     																	
kubhist-bollnastidning-1870                    Bollnäs tidning 1870's   						Bollnäs tidning 1870-talet        					kubhist     A corpus with texts from Bollnäs tidning in the 1870's   						En korpus med texter från Bollnäs tidning på 1870-talet
kubhist-bollnastidning-1880                    Bollnäs tidning 1880's   						Bollnäs tidning 1880-talet        					kubhist     A corpus with texts from Bollnäs tidning in the 1880's   						En korpus med texter från Bollnäs tidning på 1880-talet
                                     																	
kubhist-dalpilen-1850                          Dalpilen 1850's          						Dalpilen 1850-talet               					kubhist     A corpus with texts from Dalpilen in the 1850's          						En korpus med texter från Dalpilen på 1850-talet
kubhist-dalpilen-1860                          Dalpilen 1860's          						Dalpilen 1860-talet               					kubhist     A corpus with texts from Dalpilen in the 1860's          						En korpus med texter från Dalpilen på 1860-talet
kubhist-dalpilen-1870                          Dalpilen 1870's          						Dalpilen 1870-talet               					kubhist     A corpus with texts from Dalpilen in the 1870's          						En korpus med texter från Dalpilen på 1870-talet
kubhist-dalpilen-1880                          Dalpilen 1880's          						Dalpilen 1880-talet               					kubhist     A corpus with texts from Dalpilen in the 1880's          						En korpus med texter från Dalpilen på 1880-talet
kubhist-dalpilen-1890                          Dalpilen 1890's          						Dalpilen 1890-talet               					kubhist     A corpus with texts from Dalpilen in the 1890's          						En korpus med texter från Dalpilen på 1890-talet
kubhist-dalpilen-1900                          Dalpilen 1900's          						Dalpilen 1900-talet               					kubhist     A corpus with texts from Dalpilen in the 1900's          						En korpus med texter från Dalpilen på 1900-talet
kubhist-dalpilen-1910                          Dalpilen 1910's          						Dalpilen 1910-talet               					kubhist     A corpus with texts from Dalpilen in the 1910's          						En korpus med texter från Dalpilen på 1910-talet
kubhist-dalpilen-1920                          Dalpilen 1920's          						Dalpilen 1920-talet               					kubhist     A corpus with texts from Dalpilen in the 1920's          						En korpus med texter från Dalpilen på 1920-talet
 																	
kubhist-fahluweckoblad-1780                    Fahlu weckoblad 1780's   						Fahlu weckoblad 1780-talet        					kubhist     A corpus with texts from Fahlu weckoblad in the 1780's   						En korpus med texter från Fahlu weckoblad på 1780-talet
kubhist-fahluweckoblad-1790                    Fahlu weckoblad 1790's 							Fahlu weckoblad 1790-talet    	  					kubhist     A corpus with texts from Fahlu weckoblad in the 1790's   						En korpus med texter från Fahlu weckoblad på 1790-talet
