# corpus                                       name_en                                             name_sv                                               mode          description_en                                                                            description_sv                                  
fsbskonlit1900-1959                            Fiction 1900–1959                                   Skönlitteratur 1900–1959                              fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
abotidning                                     Åbo Tidning 1883–1903                               Åbo Tidning 1883–1903                                 fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
aland                                          Åland 1891–1911                                     Åland 1891–1911                                       fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
bjorneborgstidning                             Björneborgs Tidning 1897–1907                       Björneborgs Tidning 1897–1907                         fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
borgabladet2                                   Borgåbladet 1885                                    Borgåbladet 1885                                      fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
dagbladet1866-1886                             Helsingfors Dagblad 1866–1886                       Helsingfors Dagblad 1866–1886                         fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
fredrikshamnstidning                           Fredrikshamns Tidning 1888–1908                     Fredrikshamns Tidning 1888–1908                       fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
hbl1800                                        Hufvudstadsbladet 1893–1903                         Hufvudstadsbladet 1893–1903                           fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
tidningarsallskapetiabo                        Tidningar Utgifne af et Sällskap i Åbo 1771–1783    Tidningar Utgifne af et Sällskap i Åbo 1771–1783      fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
uleaborgstidning                               Uleåborgs Tidning 1877–1887                         Uleåborgs Tidning 1877–1887                           fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
wasabladet                                     Wasabladet 1866–1896                                Wasabladet 1866–1896                                  fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
wiborgstidning                                 Wiborgs Tidning 1867–1877                           Wiborgs Tidning 1867–1877                             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
spanskaflugan                                  Spanska Flugan 1839–1841                            Spanska Flugan 1839–1841                              fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
ateneum-1800tal                                Ateneum 1898–1899                                   Ateneum 1898–1899                                     fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
filosofia1850-1899                             Filosofia.fi 1850–1899                              Filosofia.fi 1850–1899                                fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
finsktidskrift1800tal                          Finsk Tidskrift 1878–1899                           Finsk Tidskrift 1878–1899                             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
landtmannen                                    Landtmannen 1877–1879                               Landtmannen 1877–1879                                 fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
litterartidskrift-helsingfors                  Literary magazine published in Helsingfors          Litterär tidskrift utgifven i Helsingfors             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
typografisktminnesblad                         Typografiskt minnesblad 1891                        Typografiskt minnesblad 1891                          fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
typograftidning                                Typograftidning 1889–1890                           Typograftidning 1889–1890                             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
argus                                          Argus 1907–1911                                     Argus 1907–1911                                       fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
astra1920-1959                                 Astra 1920–1959                                     Astra 1920–1959                                       fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
ateneum-1900tal                                Ateneum 1900–1903                                   Ateneum 1900–1903                                     fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
euterpe                                        Euterpe 1900–1905                                   Euterpe 1900–1905                                     fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
filosofia1900-1959                             Filosofia.fi 1900–1959                              Filosofia.fi 1900–1959                                fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
finsktidskrift1900tal                          Finsk Tidskrift 1900–1912                           Finsk Tidskrift 1900–1912                             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
husmodern                                      Husmodern 1903–1912                                 Husmodern 1903–1912                                   fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går

astra1960-1979                                 Astra 1960–1979                                     Astra 1960–1979                                       modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
abounderrattelser2013                          Åbo Underrättelser 2013                             Åbo Underrättelser 2013                               modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
hbl2014                                        Hufvudstadsbladet 2014                              Hufvudstadsbladet 2014                                modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
osterbottenstidning2014                        Österbottens Tidning 2014                           Österbottens Tidning 2014                             modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sydosterbotten2014                             Syd-Österbotten 2014                                Syd-Österbotten 2014                                  modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
vasabladet2014                                 Vasabladet 2014                                     Vasabladet 2014                                       modern        Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
