# corpus                                       name_en                                             name_sv                                               mode          description_en                                                                            description_sv                                  
dagbocker1700tal                               Diaries 1700-tal                                    Dagböcker 1700-tal                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går                      
dagbocker1800-1849                             Diaries 1800–1849                                   Dagböcker 1800–1849                                   fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går                      
dagbocker1850-1899                             Diaries 1850–1899                                   Dagböcker 1850–1899                                   fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går                      
dagbocker1900-1949                             Diaries 1900–1949                                   Dagböcker 1900–1949                                   fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går                      
fsbbrev1900tal                                 Letters 1900–1959                                   Brev 1900–1959                                        fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går                      
fsbmyndighet1800tal                            Authorities texts 1800's                            Myndighetstexter 1800-tal                             fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sakprosa1700-1749                              Non-fiction 1700–1749                               Sakprosa 1700–1749                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sakprosa1750-1799                              Non-fiction 1750–1799                               Sakprosa 1750–1799                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sakprosa1800-1849                              Non-fiction 1800–1849                               Sakprosa 1800–1849                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sakprosa1850-1899                              Non-fiction 1850–1899                               Sakprosa 1850–1899                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
sakprosa1900-1959                              Non-fiction 1900–1959                               Sakprosa 1900–1959                                    fisk1800      Part of the Finland Swedish language bank over Swedish in Finland today and yesterday     Del av finlandssvensk språkbank över svenskan i Finland i dag och i går
